Name,Address,City,Phone Number,Web
Stamford Spine,"1177 Summer St 2nd Floor, Stamford, Ct 06905, United States",Stamford,+1 203-580-3232,http://www.stamfordspine.com/
Hodes Chiropractic Llc,"1249 W Main St #7, Waterbury, Ct 06708, United States",Waterbury,+1 203-754-2300,https://healthandwellness.net/
Imed Chiropractic,"527 Tunxis Hill Rd, Fairfield, Ct 06825, United States",Fairfield,+1 203-333-7788,https://www.imedchiro.com/
Forest City Chiropractic And Acupuncture,"113 Saybrook Rd, Middletown, Ct 06457, United States",Middletown,+1 860-788-3399,https://www.forestcitychiropractic.com/
Indian Harbor Chiropractic,"49 Lake Ave Suite 1e, Greenwich, Ct 06830, United States",Greenwich,+1 203-983-5426,https://www.indianharborchiropractic.com/
"Greenwich Kinetics Chiropractic Services, Dr. Vincent Buonanno","Greenwich Medical Building - The Annex, 49 Lake Ave Suite 1e, Greenwich, Ct 06830, United States",Greenwich,+1 203-661-6699,https://www.greenwichkinetics.com/
North Colony Chiropractic,"128 Broad St, Meriden, Ct 06450, United States",Meriden,+1 203-235-2225,http://drpepin.com/
Essential Health Chiropractic & Massage,"645 Farmington Ave, Hartford, Ct 06105, United States",Hartford,+1 860-269-3228 ext. 1,http://www.essentialhealthct.com/
Dr. Hugues Valcourt Dc,"281 N Main St, Bristol, Ct 06010, United States",Bristol,+1 860-582-6111,https://sovitachiro.com/
Dr James Allen Family Chiropractic,"16 Red Bush Ln, Milford, Ct 06461, United States",Milford,+1 203-877-5626,http://www.drjrallen.com/
Popowich Chiropractic & Acupuncture Care,"71 S Main St Ste 2, Newtown, Ct 06470, United States",Newtown,+1 203-304-9037,http://www.mynewtowndoctor.com/
Indigo Wellness Group,"66 Glenbrook Rd #300, Stamford, Ct 06902, United States",Stamford,+1 203-658-7850,http://www.indigowellnessgroup.com/
Donna Bunte Whole Health,"2001 W Main St, Stamford, Ct 06902, United States",Stamford,+1 203-253-9885,https://www.donnabunte.com/
"Alison Larocca, L.ac","4 Armstrong Rd, Shelton, Ct 06484, United States",Shelton,+1 203-842-8631,https://www.sheltonsportsandspine.com/about.html
Body Mind Wellness Acupuncture Pc,"2440 High Ridge Rd, Stamford, Ct 06903, United States",Stamford,+1 646-769-0478,https://bmwacupuncture.com/
Integrity Acupuncture & Dr. Aimee Montanaro,"64 Huntington St, Shelton, Ct 06484, United States",Shelton,+1 203-429-4406,https://www.integrityacuct.com/
"Mark Gutkin Lac Acupuncture, Herbs, Nutrition","111 High Ridge Rd 2nd Level, Stamford, Ct 06905, United States",Stamford,+1 203-533-9463,http://www.markgutkin.com/
"Amy Calandruccio, Lac","540 Saybrook Rd #280, Middletown, Ct 06457, United States",Middletown,+1 860-919-7821,https://middlesexhealth.org/news/middlesex-health-news/february-2024/the-benefits-of-acupuncture
"Veeresh Kumar Nanjangud Shivamurthy, Md","1000 Asylum Ave # 2112, Hartford, Ct 06105, United States",Hartford,+1 860-522-3711,https://www.trinityhealthofne.org/provider/veeresh-kumar-nanjangud-shivamurthy-md-neurology
Dr. Peter Mcallister. Westport Ct,"30 Buxton Farm Rd, Stamford, Ct 06905, United States",Stamford,+1 203-914-1900,http://www.neinh.com/
The Ayer Neuroscience Institute Headache Center,"280 S Main St #103, Cheshire, Ct 06410, United States",Cheshire,+1 860-696-2925,https://hartfordhealthcare.org/services/headache-center/locations
"Lucas Benchaya, Md","85 Seymour St #815, Hartford, Ct 06106, United States",Hartford,+1 860-972-3621,https://hartfordhealthcaremedicalgroup.org/LucasBenchaya
"Lisa Knopf, Md","85 Seymour St #815, Hartford, Ct 06106, United States",Hartford,+1 860-972-3600,https://hartfordhealthcaremedicalgroup.org/LisaKnopf
Nuvance Health Medical Practice - Neurology Norwalk,"761 Main Ave Entrance B, Suite 201a, Norwalk, Ct 06851, United States",Norwalk,+1 203-853-5000,https://www.nuvancehealth.org/locations/nuvance-health-medical-practice-neurology-norwalk?utm_source=listings&utm_medium=organic&utm_campaign=Yext&y_source=1_MjQzMTkyMzItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
The Ayer Neuroscience Institute At Hartford Hospital,"85 Seymour St Ste 1019, Hartford, Ct 06106, United States",Hartford,+1 860-278-0070,https://hartfordhealthcaremedicalgroup.org/locations/specialty-care/hartford/85-seymour-street-suite-1019
Stamford Health Medical Group Neurology,"29 Hospital Plaza Suite 602, Stamford, Ct 06902, United States",Stamford,+1 203-276-4464,https://www.stamfordhealth.org/locations/ct/stamford/stamford-health-medical-group-neurology/11140983/?utm_source=google&utm_medium=organic&utm_campaign=Yext
Stamford Hospital: New England Institute For Neurology And Headache,"166 W Broad St #203, Stamford, Ct 06902, United States",Stamford,+1 203-276-4464,http://www.stamfordhealthintegratedpractices.com/
Sarah E. Buckingham,"29 Hospital Plaza Suite 602, Stamford, Ct 06902, United States",Stamford,+1 203-276-4464,https://www.stamfordhealth.org/find-a-doctor/sarah-buckingham?utm_source=google&utm_medium=organic&utm_campaign=Yext
Lawrence Beck,"111 Beach Rd, Fairfield, Ct 06824, United States",Fairfield,+1 203-254-0284,https://neurologyct.com/
Dr. Yaniv Chen,"99 Hawley Ln Ste 1120, Stratford, Ct 06614, United States",Stratford,+1 203-377-5988,https://neurologyct.com/
Bluth Lawrence S Md,"85 Seymour St #800, Hartford, Ct 06106, United States",Hartford,+1 860-522-4429,https://weence.com/medical/doctors/hartford-4/bluth-lawrence-s-md/
Yale Medicine Neurology,"260 Long Ridge Rd, Stamford, Ct 06902, United States",Stamford,+1 877-925-3637,https://www.yalemedicine.org/departments/neurology
Neurosynchrony Health,"100 Melrose Ave # 101, Greenwich, Ct 06830, United States",Greenwich,+1 203-717-0797,https://www.neurosynchronyhealth.com/
Hartford Hospital Epilepsy Center,"80 Seymour St, Hartford, Ct 06106, United States",Hartford,+1 860-972-2700,https://hartfordhospital.org/services/neuroscience-institute/conditions-treatments/epilepsy
"Dr. Azimuddin K. Kazi, Md","99 Hawley Ln, Stratford, Ct 06614, United States",Stratford,+1 203-377-5988,http://www.neurologyct.com/
